,tl,tm,tr,ml,mm,mr,bl,bm,br,result
598,x,-,-,-,-,-,x,o,o,xwin
599,x,-,-,-,-,-,-,-,o,owin
600,x,-,-,-,-,-,-,o,-,owin
601,x,-,-,-,-,-,-,o,o,xwin
602,x,-,-,-,-,-,o,x,o,owin
603,x,-,-,-,-,-,o,-,-,owin
604,x,-,-,-,-,-,o,-,o,owin
605,x,-,-,-,-,-,o,o,x,owin
606,x,-,-,-,-,-,o,o,-,owin
607,x,-,-,-,-,o,x,-,o,owin
608,x,-,-,-,-,o,x,o,-,xwin
609,x,-,-,-,-,o,x,o,o,xwin
610,x,-,-,-,-,o,-,x,o,owin
611,x,-,-,-,-,o,-,-,-,owin
612,x,-,-,-,-,o,-,-,o,xwin
613,x,-,-,-,-,o,-,o,x,owin
614,x,-,-,-,-,o,-,o,-,xwin
615,x,-,-,-,-,o,o,x,-,owin
616,x,-,-,-,-,o,o,x,o,draw
617,x,-,-,-,-,o,o,-,x,owin
618,x,-,-,-,-,o,o,-,-,draw
619,x,-,-,-,-,o,o,o,x,xwin
620,x,-,-,-,o,x,x,o,o,owin
621,x,-,-,-,o,x,-,-,o,owin
622,x,-,-,-,o,x,-,o,-,owin
623,x,-,-,-,o,x,-,o,o,owin
624,x,-,-,-,o,x,o,x,o,owin
625,x,-,-,-,o,x,o,-,-,owin
626,x,-,-,-,o,x,o,-,o,owin
627,x,-,-,-,o,x,o,o,x,owin
628,x,-,-,-,o,x,o,o,-,owin
629,x,-,-,-,o,-,x,-,o,draw
630,x,-,-,-,o,-,x,o,-,owin
631,x,-,-,-,o,-,x,o,o,xwin
632,x,-,-,-,o,-,-,x,o,owin
633,x,-,-,-,o,-,-,-,-,draw
634,x,-,-,-,o,-,-,-,o,draw
635,x,-,-,-,o,-,-,o,x,owin
636,x,-,-,-,o,-,-,o,-,draw
637,x,-,-,-,o,-,o,x,-,owin
638,x,-,-,-,o,-,o,x,o,draw
639,x,-,-,-,o,-,o,-,x,owin
640,x,-,-,-,o,-,o,-,-,draw
641,x,-,-,-,o,-,o,o,x,owin
642,x,-,-,-,o,o,x,x,o,owin
643,x,-,-,-,o,o,x,-,-,owin
644,x,-,-,-,o,o,x,-,o,xwin
645,x,-,-,-,o,o,x,o,x,owin
646,x,-,-,-,o,o,x,o,-,xwin
647,x,-,-,-,o,o,-,x,-,owin
648,x,-,-,-,o,o,-,x,o,owin
649,x,-,-,-,o,o,-,-,x,owin
650,x,-,-,-,o,o,-,-,-,draw
651,x,-,-,-,o,o,-,o,x,owin
652,x,-,-,-,o,o,o,x,x,owin
653,x,-,-,-,o,o,o,x,-,owin
654,x,-,-,-,o,o,o,-,x,owin
655,x,-,-,o,x,x,-,o,o,owin
656,x,-,-,o,x,x,o,-,o,owin
657,x,-,-,o,x,x,o,o,-,owin
658,x,-,-,o,x,x,o,o,o,owin
659,x,-,-,o,x,-,x,o,o,draw
660,x,-,-,o,x,-,-,-,o,draw
661,x,-,-,o,x,-,-,o,-,draw
662,x,-,-,o,x,-,-,o,o,draw
663,x,-,-,o,x,-,o,x,o,draw
664,x,-,-,o,x,-,o,-,-,draw
665,x,-,-,o,x,-,o,-,o,draw
666,x,-,-,o,x,-,o,o,x,xwin
667,x,-,-,o,x,-,o,o,-,xwin
668,x,-,-,o,x,o,x,-,o,owin
669,x,-,-,o,x,o,x,o,-,xwin
670,x,-,-,o,x,o,x,o,o,xwin
671,x,-,-,o,x,o,-,x,o,owin
672,x,-,-,o,x,o,-,-,-,xwin
673,x,-,-,o,x,o,-,-,o,xwin
674,x,-,-,o,x,o,-,o,x,xwin
675,x,-,-,o,x,o,-,o,-,xwin
676,x,-,-,o,x,o,o,x,-,xwin
677,x,-,-,o,x,o,o,x,o,xwin
678,x,-,-,o,x,o,o,-,x,xwin
679,x,-,-,o,x,o,o,-,-,xwin
680,x,-,-,o,x,o,o,o,x,xwin
681,x,-,-,o,-,x,x,o,o,draw
682,x,-,-,o,-,x,-,-,o,draw
683,x,-,-,o,-,x,-,o,-,draw
684,x,-,-,o,-,x,-,o,o,draw
685,x,-,-,o,-,x,o,x,o,draw
686,x,-,-,o,-,x,o,-,-,draw
687,x,-,-,o,-,x,o,-,o,draw
688,x,-,-,o,-,x,o,o,x,xwin
689,x,-,-,o,-,x,o,o,-,xwin
690,x,-,-,o,-,-,x,-,o,owin
691,x,-,-,o,-,-,x,o,-,owin
692,x,-,-,o,-,-,x,o,o,xwin
693,x,-,-,o,-,-,-,x,o,owin
694,x,-,-,o,-,-,-,-,-,draw
695,x,-,-,o,-,-,-,-,o,draw
696,x,-,-,o,-,-,-,o,x,owin
697,x,-,-,o,-,-,-,o,-,xwin
698,x,-,-,o,-,-,o,x,-,owin
699,x,-,-,o,-,-,o,x,o,xwin
700,x,-,-,o,-,-,o,-,x,owin
701,x,-,-,o,-,-,o,-,-,xwin
702,x,-,-,o,-,-,o,o,x,xwin
703,x,-,-,o,-,o,x,x,o,owin
704,x,-,-,o,-,o,x,-,-,owin
705,x,-,-,o,-,o,x,-,o,owin
706,x,-,-,o,-,o,x,o,x,owin
707,x,-,-,o,-,o,x,o,-,xwin
708,x,-,-,o,-,o,-,x,-,owin
709,x,-,-,o,-,o,-,x,o,owin
710,x,-,-,o,-,o,-,-,x,owin
711,x,-,-,o,-,o,-,-,-,xwin
712,x,-,-,o,-,o,-,o,x,xwin
713,x,-,-,o,-,o,o,x,x,owin
714,x,-,-,o,-,o,o,x,-,xwin
715,x,-,-,o,-,o,o,-,x,xwin
716,x,-,-,o,o,x,x,-,o,draw
717,x,-,-,o,o,x,x,o,-,owin
718,x,-,-,o,o,x,x,o,o,draw
719,x,-,-,o,o,x,-,x,o,draw
720,x,-,-,o,o,x,-,-,-,draw
721,x,-,-,o,o,x,-,-,o,draw
722,x,-,-,o,o,x,-,o,x,owin
723,x,-,-,o,o,x,-,o,-,draw
724,x,-,-,o,o,x,o,x,-,owin
725,x,-,-,o,o,x,o,x,o,draw
726,x,-,-,o,o,x,o,-,x,owin
727,x,-,-,o,o,x,o,-,-,xwin
728,x,-,-,o,o,x,o,o,x,xwin
729,x,-,-,o,o,-,x,x,o,owin
730,x,-,-,o,o,-,x,-,-,owin
731,x,-,-,o,o,-,x,-,o,draw
732,x,-,-,o,o,-,x,o,x,owin
733,x,-,-,o,o,-,x,o,-,owin
734,x,-,-,o,o,-,-,x,-,owin
735,x,-,-,o,o,-,-,x,o,draw
736,x,-,-,o,o,-,-,-,x,owin
737,x,-,-,o,o,-,-,-,-,draw
738,x,-,-,o,o,-,-,o,x,owin
739,x,-,-,o,o,-,o,x,x,owin
740,x,-,-,o,o,-,o,x,-,owin
741,x,-,-,o,o,-,o,-,x,owin
742,x,-,-,o,o,o,x,x,-,owin
743,x,-,-,o,o,o,x,x,o,owin
744,x,-,-,o,o,o,x,-,x,owin
745,x,-,-,o,o,o,x,-,-,owin
746,x,-,-,o,o,o,x,o,x,owin
747,x,-,-,o,o,o,-,x,x,owin
748,x,-,-,o,o,o,-,x,-,owin
749,x,-,-,o,o,o,-,-,x,owin
750,x,-,-,o,o,o,o,x,x,owin
751,x,-,o,x,x,-,-,o,o,owin
752,x,-,o,x,x,-,o,-,o,owin
753,x,-,o,x,x,-,o,o,-,owin
754,x,-,o,x,x,-,o,o,o,owin
755,x,-,o,x,x,o,-,-,o,owin
756,x,-,o,x,x,o,-,o,-,owin
757,x,-,o,x,x,o,-,o,o,owin
758,x,-,o,x,x,o,o,x,o,owin
759,x,-,o,x,x,o,o,-,-,owin
760,x,-,o,x,x,o,o,-,o,owin
761,x,-,o,x,x,o,o,o,x,xwin
762,x,-,o,x,x,o,o,o,-,xwin
763,x,-,o,x,-,x,-,o,o,owin
764,x,-,o,x,-,x,o,-,o,owin
765,x,-,o,x,-,x,o,o,-,owin
766,x,-,o,x,-,x,o,o,o,owin
767,x,-,o,x,-,-,x,o,o,xwin
768,x,-,o,x,-,-,-,-,o,owin
769,x,-,o,x,-,-,-,o,-,owin
770,x,-,o,x,-,-,-,o,o,xwin
771,x,-,o,x,-,-,o,x,o,owin
772,x,-,o,x,-,-,o,-,-,owin
773,x,-,o,x,-,-,o,-,o,owin
774,x,-,o,x,-,-,o,o,x,owin
775,x,-,o,x,-,-,o,o,-,owin
776,x,-,o,x,-,o,x,o,-,xwin
777,x,-,o,x,-,o,-,x,o,owin
778,x,-,o,x,-,o,-,-,-,owin
779,x,-,o,x,-,o,-,-,o,owin
780,x,-,o,x,-,o,-,o,x,xwin
781,x,-,o,x,-,o,-,o,-,xwin
782,x,-,o,x,-,o,o,x,-,owin
783,x,-,o,x,-,o,o,x,o,owin
784,x,-,o,x,-,o,o,-,x,owin
785,x,-,o,x,-,o,o,-,-,owin
786,x,-,o,x,-,o,o,o,x,xwin
787,x,-,o,x,o,x,x,o,o,xwin
788,x,-,o,x,o,x,-,-,o,owin
789,x,-,o,x,o,x,-,o,-,owin
790,x,-,o,x,o,x,-,o,o,xwin
791,x,-,o,x,o,x,o,x,o,owin
792,x,-,o,x,o,x,o,-,-,owin
793,x,-,o,x,o,x,o,-,o,owin
794,x,-,o,x,o,x,o,o,x,owin
795,x,-,o,x,o,x,o,o,-,owin
796,x,-,o,x,o,-,x,-,o,xwin
797,x,-,o,x,o,-,x,o,-,xwin
798,x,-,o,x,o,-,x,o,o,xwin
799,x,-,o,x,o,-,-,x,o,owin
800,x,-,o,x,o,-,-,-,-,owin
801,x,-,o,x,o,-,-,-,o,xwin
802,x,-,o,x,o,-,-,o,x,owin
803,x,-,o,x,o,-,-,o,-,xwin
804,x,-,o,x,o,-,o,x,-,owin
805,x,-,o,x,o,-,o,x,o,owin
806,x,-,o,x,o,-,o,-,x,owin
807,x,-,o,x,o,-,o,-,-,owin
808,x,-,o,x,o,-,o,o,x,owin
809,x,-,o,x,o,o,x,-,-,xwin
810,x,-,o,x,o,o,x,o,x,xwin
811,x,-,o,x,o,o,x,o,-,xwin
812,x,-,o,x,o,o,-,x,-,owin
813,x,-,o,x,o,o,-,x,o,owin
814,x,-,o,x,o,o,-,-,x,owin
815,x,-,o,x,o,o,-,-,-,xwin
816,x,-,o,x,o,o,-,o,x,xwin
817,x,-,o,x,o,o,o,x,x,owin
818,x,-,o,x,o,o,o,x,-,owin
819,x,-,o,x,o,o,o,-,x,owin
820,x,-,o,-,x,x,-,o,o,owin
821,x,-,o,-,x,x,o,-,o,owin
822,x,-,o,-,x,x,o,o,-,owin
823,x,-,o,-,x,x,o,o,o,owin
824,x,-,o,-,x,-,x,o,o,owin
825,x,-,o,-,x,-,-,-,o,owin
826,x,-,o,-,x,-,-,o,-,owin
827,x,-,o,-,x,-,-,o,o,owin
828,x,-,o,-,x,-,o,x,o,owin
829,x,-,o,-,x,-,o,-,-,owin
830,x,-,o,-,x,-,o,-,o,owin
831,x,-,o,-,x,-,o,o,x,xwin
832,x,-,o,-,x,-,o,o,-,xwin
833,x,-,o,-,x,o,x,-,o,owin
834,x,-,o,-,x,o,x,o,-,owin
835,x,-,o,-,x,o,x,o,o,owin
836,x,-,o,-,x,o,-,x,o,owin
837,x,-,o,-,x,o,-,-,-,owin
838,x,-,o,-,x,o,-,-,o,owin
839,x,-,o,-,x,o,-,o,x,xwin
840,x,-,o,-,x,o,-,o,-,xwin
841,x,-,o,-,x,o,o,x,-,owin
842,x,-,o,-,x,o,o,x,o,owin
843,x,-,o,-,x,o,o,-,x,xwin
844,x,-,o,-,x,o,o,-,-,xwin
845,x,-,o,-,x,o,o,o,x,xwin
846,x,-,o,-,-,x,x,o,o,draw
847,x,-,o,-,-,x,-,-,o,owin
848,x,-,o,-,-,x,-,o,-,owin
849,x,-,o,-,-,x,-,o,o,draw
850,x,-,o,-,-,x,o,x,o,owin
851,x,-,o,-,-,x,o,-,-,owin
852,x,-,o,-,-,x,o,-,o,owin
853,x,-,o,-,-,x,o,o,x,owin
854,x,-,o,-,-,x,o,o,-,owin
855,x,-,o,-,-,-,x,-,o,owin
856,x,-,o,-,-,-,x,o,-,draw
857,x,-,o,-,-,-,x,o,o,xwin
858,x,-,o,-,-,-,-,x,o,owin
859,x,-,o,-,-,-,-,-,-,owin
860,x,-,o,-,-,-,-,-,o,owin
861,x,-,o,-,-,-,-,o,x,owin
862,x,-,o,-,-,-,-,o,-,draw
863,x,-,o,-,-,-,o,x,-,owin
864,x,-,o,-,-,-,o,x,o,owin
865,x,-,o,-,-,-,o,-,x,owin
866,x,-,o,-,-,-,o,-,-,owin
867,x,-,o,-,-,-,o,o,x,xwin
868,x,-,o,-,-,o,x,x,o,owin
869,x,-,o,-,-,o,x,-,-,owin
870,x,-,o,-,-,o,x,-,o,owin
871,x,-,o,-,-,o,x,o,x,xwin
872,x,-,o,-,-,o,x,o,-,xwin
873,x,-,o,-,-,o,-,x,-,owin
874,x,-,o,-,-,o,-,x,o,owin
875,x,-,o,-,-,o,-,-,x,owin
876,x,-,o,-,-,o,-,-,-,owin
877,x,-,o,-,-,o,-,o,x,xwin
878,x,-,o,-,-,o,o,x,x,owin
879,x,-,o,-,-,o,o,x,-,owin
880,x,-,o,-,-,o,o,-,x,xwin
881,x,-,o,-,o,x,x,-,o,draw
882,x,-,o,-,o,x,x,o,-,owin
883,x,-,o,-,o,x,x,o,o,xwin
884,x,-,o,-,o,x,-,x,o,owin
885,x,-,o,-,o,x,-,-,-,owin
886,x,-,o,-,o,x,-,-,o,draw
887,x,-,o,-,o,x,-,o,x,owin
888,x,-,o,-,o,x,-,o,-,owin
889,x,-,o,-,o,x,o,x,-,owin
890,x,-,o,-,o,x,o,x,o,owin
891,x,-,o,-,o,x,o,-,x,owin
892,x,-,o,-,o,x,o,-,-,owin
893,x,-,o,-,o,x,o,o,x,owin
894,x,-,o,-,o,-,x,x,o,owin
895,x,-,o,-,o,-,x,-,-,draw
896,x,-,o,-,o,-,x,-,o,xwin
897,x,-,o,-,o,-,x,o,x,owin
898,x,-,o,-,o,-,x,o,-,xwin
899,x,-,o,-,o,-,-,x,-,owin
900,x,-,o,-,o,-,-,x,o,owin
901,x,-,o,-,o,-,-,-,x,owin
902,x,-,o,-,o,-,-,-,-,draw
903,x,-,o,-,o,-,-,o,x,owin
904,x,-,o,-,o,-,o,x,x,owin
905,x,-,o,-,o,-,o,x,-,owin
906,x,-,o,-,o,-,o,-,x,owin
907,x,-,o,-,o,o,x,x,-,owin
908,x,-,o,-,o,o,x,x,o,owin
909,x,-,o,-,o,o,x,-,x,owin
910,x,-,o,-,o,o,x,-,-,xwin
911,x,-,o,-,o,o,x,o,x,xwin
912,x,-,o,-,o,o,-,x,x,owin
913,x,-,o,-,o,o,-,x,-,owin
914,x,-,o,-,o,o,-,-,x,owin
915,x,-,o,-,o,o,o,x,x,owin
916,x,-,o,o,x,x,x,o,o,draw
917,x,-,o,o,x,x,-,-,o,draw
918,x,-,o,o,x,x,-,o,-,draw
919,x,-,o,o,x,x,-,o,o,draw
920,x,-,o,o,x,x,o,x,o,draw
921,x,-,o,o,x,x,o,-,-,draw
922,x,-,o,o,x,x,o,-,o,draw
923,x,-,o,o,x,x,o,o,x,xwin
924,x,-,o,o,x,x,o,o,-,xwin
925,x,-,o,o,x,-,x,-,o,owin
926,x,-,o,o,x,-,x,o,-,draw
927,x,-,o,o,x,-,x,o,o,draw
928,x,-,o,o,x,-,-,x,o,owin
929,x,-,o,o,x,-,-,-,-,draw
930,x,-,o,o,x,-,-,-,o,draw
931,x,-,o,o,x,-,-,o,x,xwin
932,x,-,o,o,x,-,-,o,-,xwin
933,x,-,o,o,x,-,o,x,-,xwin
934,x,-,o,o,x,-,o,x,o,xwin
935,x,-,o,o,x,-,o,-,x,xwin
936,x,-,o,o,x,-,o,-,-,xwin
937,x,-,o,o,x,-,o,o,x,xwin
938,x,-,o,o,x,o,x,x,o,owin
939,x,-,o,o,x,o,x,-,-,owin
940,x,-,o,o,x,o,x,-,o,owin
941,x,-,o,o,x,o,x,o,x,xwin
942,x,-,o,o,x,o,x,o,-,xwin
943,x,-,o,o,x,o,-,x,-,owin
944,x,-,o,o,x,o,-,x,o,owin
945,x,-,o,o,x,o,-,-,x,xwin
946,x,-,o,o,x,o,-,-,-,xwin
947,x,-,o,o,x,o,-,o,x,xwin
948,x,-,o,o,x,o,o,x,x,xwin
949,x,-,o,o,x,o,o,x,-,xwin
950,x,-,o,o,x,o,o,-,x,xwin
951,x,-,o,o,-,x,x,-,o,draw
952,x,-,o,o,-,x,x,o,-,draw
953,x,-,o,o,-,x,x,o,o,draw
954,x,-,o,o,-,x,-,x,o,draw
955,x,-,o,o,-,x,-,-,-,draw
956,x,-,o,o,-,x,-,-,o,draw
957,x,-,o,o,-,x,-,o,x,owin
958,x,-,o,o,-,x,-,o,-,draw
959,x,-,o,o,-,x,o,x,-,owin
960,x,-,o,o,-,x,o,x,o,draw
961,x,-,o,o,-,x,o,-,x,owin
962,x,-,o,o,-,x,o,-,-,draw
963,x,-,o,o,-,x,o,o,x,xwin
964,x,-,o,o,-,-,x,x,o,owin
965,x,-,o,o,-,-,x,-,-,owin
966,x,-,o,o,-,-,x,-,o,draw
967,x,-,o,o,-,-,x,o,x,owin
968,x,-,o,o,-,-,x,o,-,draw
969,x,-,o,o,-,-,-,x,-,owin
970,x,-,o,o,-,-,-,x,o,draw
971,x,-,o,o,-,-,-,-,x,owin
972,x,-,o,o,-,-,-,-,-,draw
973,x,-,o,o,-,-,-,o,x,xwin
974,x,-,o,o,-,-,o,x,x,owin
975,x,-,o,o,-,-,o,x,-,xwin
976,x,-,o,o,-,-,o,-,x,xwin
977,x,-,o,o,-,o,x,x,-,owin
978,x,-,o,o,-,o,x,x,o,owin
979,x,-,o,o,-,o,x,-,x,owin
980,x,-,o,o,-,o,x,-,-,owin
981,x,-,o,o,-,o,x,o,x,xwin
982,x,-,o,o,-,o,-,x,x,owin
983,x,-,o,o,-,o,-,x,-,owin
984,x,-,o,o,-,o,-,-,x,xwin
985,x,-,o,o,-,o,o,x,x,xwin
986,x,-,o,o,o,x,x,x,o,draw
987,x,-,o,o,o,x,x,-,-,draw
988,x,-,o,o,o,x,x,-,o,draw
989,x,-,o,o,o,x,x,o,x,owin
990,x,-,o,o,o,x,x,o,-,draw
991,x,-,o,o,o,x,-,x,-,owin
992,x,-,o,o,o,x,-,x,o,draw
993,x,-,o,o,o,x,-,-,x,owin
994,x,-,o,o,o,x,-,-,-,draw
995,x,-,o,o,o,x,-,o,x,owin
996,x,-,o,o,o,x,o,x,x,owin
997,x,-,o,o,o,x,o,x,-,owin
998,x,-,o,o,o,x,o,-,x,owin
999,x,-,o,o,o,-,x,x,-,owin
1000,x,-,o,o,o,-,x,x,o,draw
1001,x,-,o,o,o,-,x,-,x,owin
1002,x,-,o,o,o,-,x,-,-,draw
1003,x,-,o,o,o,-,x,o,x,owin
1004,x,-,o,o,o,-,-,x,x,owin
1005,x,-,o,o,o,-,-,x,-,owin
1006,x,-,o,o,o,-,-,-,x,owin
1007,x,-,o,o,o,-,o,x,x,owin
1008,x,-,o,o,o,o,x,x,-,owin
1009,x,-,o,o,o,o,x,-,x,owin
1010,x,-,o,o,o,o,-,x,x,owin
1011,x,o,x,x,x,-,o,o,o,owin
1012,x,o,x,x,x,o,-,o,o,owin
1013,x,o,x,x,x,o,o,-,o,owin
1014,x,o,x,x,x,o,o,o,-,owin
1015,x,o,x,x,x,o,o,o,o,owin
1016,x,o,x,x,-,x,o,o,o,owin
1017,x,o,x,x,-,-,-,o,o,owin
1018,x,o,x,x,-,-,o,-,o,owin
1019,x,o,x,x,-,-,o,o,-,owin
1020,x,o,x,x,-,-,o,o,o,owin
1021,x,o,x,x,-,o,x,o,o,xwin
1022,x,o,x,x,-,o,-,-,o,draw
1023,x,o,x,x,-,o,-,o,-,owin
1024,x,o,x,x,-,o,-,o,o,xwin
1025,x,o,x,x,-,o,o,x,o,draw
1026,x,o,x,x,-,o,o,-,-,owin
1027,x,o,x,x,-,o,o,-,o,draw
1028,x,o,x,x,-,o,o,o,x,owin
1029,x,o,x,x,-,o,o,o,-,owin
1030,x,o,x,x,o,x,-,o,o,owin
1031,x,o,x,x,o,x,o,-,o,owin
1032,x,o,x,x,o,x,o,o,-,owin
1033,x,o,x,x,o,x,o,o,o,owin
1034,x,o,x,x,o,-,-,-,o,owin
1035,x,o,x,x,o,-,-,o,-,owin
1036,x,o,x,x,o,-,-,o,o,owin
1037,x,o,x,x,o,-,o,x,o,draw
1038,x,o,x,x,o,-,o,-,-,owin
1039,x,o,x,x,o,-,o,-,o,draw
1040,x,o,x,x,o,-,o,o,x,owin
1041,x,o,x,x,o,-,o,o,-,owin
1042,x,o,x,x,o,o,x,-,o,xwin
1043,x,o,x,x,o,o,-,x,o,draw
1044,x,o,x,x,o,o,-,-,-,owin
1045,x,o,x,x,o,o,-,-,o,xwin
1046,x,o,x,x,o,o,-,o,x,owin
1047,x,o,x,x,o,o,-,o,-,owin
1048,x,o,x,x,o,o,o,x,-,draw
1049,x,o,x,x,o,o,o,x,o,draw
1050,x,o,x,x,o,o,o,-,x,owin
1051,x,o,x,x,o,o,o,-,-,draw
1052,x,o,x,x,o,o,o,o,x,owin
1053,x,o,x,-,x,x,o,o,o,owin
1054,x,o,x,-,x,-,-,o,o,owin
1055,x,o,x,-,x,-,o,-,o,owin
1056,x,o,x,-,x,-,o,o,-,owin
1057,x,o,x,-,x,-,o,o,o,owin
1058,x,o,x,-,x,o,x,o,o,xwin
1059,x,o,x,-,x,o,-,-,o,draw
1060,x,o,x,-,x,o,-,o,-,xwin
1061,x,o,x,-,x,o,-,o,o,xwin
1062,x,o,x,-,x,o,o,x,o,draw
1063,x,o,x,-,x,o,o,-,-,draw
1064,x,o,x,-,x,o,o,-,o,draw
1065,x,o,x,-,x,o,o,o,x,xwin
1066,x,o,x,-,x,o,o,o,-,xwin
1067,x,o,x,-,-,x,-,o,o,owin
1068,x,o,x,-,-,x,o,-,o,owin
1069,x,o,x,-,-,x,o,o,-,owin
1070,x,o,x,-,-,x,o,o,o,owin
1071,x,o,x,-,-,-,x,o,o,owin
1072,x,o,x,-,-,-,-,-,o,owin
1073,x,o,x,-,-,-,-,o,-,owin
1074,x,o,x,-,-,-,-,o,o,owin
1075,x,o,x,-,-,-,o,x,o,draw
1076,x,o,x,-,-,-,o,-,-,owin
1077,x,o,x,-,-,-,o,-,o,draw
1078,x,o,x,-,-,-,o,o,x,owin
1079,x,o,x,-,-,-,o,o,-,owin
1080,x,o,x,-,-,o,x,-,o,xwin
1081,x,o,x,-,-,o,x,o,-,owin
1082,x,o,x,-,-,o,x,o,o,xwin
1083,x,o,x,-,-,o,-,x,o,draw
1084,x,o,x,-,-,o,-,-,-,owin
1085,x,o,x,-,-,o,-,-,o,xwin
1086,x,o,x,-,-,o,-,o,x,owin
1087,x,o,x,-,-,o,-,o,-,xwin
1088,x,o,x,-,-,o,o,x,-,draw
1089,x,o,x,-,-,o,o,x,o,draw
1090,x,o,x,-,-,o,o,-,x,owin
1091,x,o,x,-,-,o,o,-,-,draw
1092,x,o,x,-,-,o,o,o,x,xwin
1093,x,o,x,-,o,x,x,o,o,owin
1094,x,o,x,-,o,x,-,-,o,owin
1095,x,o,x,-,o,x,-,o,-,owin
1096,x,o,x,-,o,x,-,o,o,owin
1097,x,o,x,-,o,x,o,x,o,draw
1098,x,o,x,-,o,x,o,-,-,owin
1099,x,o,x,-,o,x,o,-,o,draw
1100,x,o,x,-,o,x,o,o,-,owin
1101,x,o,x,-,o,-,x,-,o,owin
1102,x,o,x,-,o,-,x,o,-,owin
1103,x,o,x,-,o,-,x,o,o,owin
1104,x,o,x,-,o,-,-,x,o,draw
1105,x,o,x,-,o,-,-,-,-,owin
1106,x,o,x,-,o,-,-,-,o,draw
1107,x,o,x,-,o,-,-,o,x,owin
1108,x,o,x,-,o,-,-,o,-,owin
1109,x,o,x,-,o,-,o,x,-,draw
1110,x,o,x,-,o,-,o,x,o,draw
1111,x,o,x,-,o,-,o,-,x,owin
1112,x,o,x,-,o,-,o,-,-,draw
1113,x,o,x,-,o,-,o,o,x,owin
1114,x,o,x,-,o,o,x,x,o,owin
1115,x,o,x,-,o,o,x,-,-,owin
1116,x,o,x,-,o,o,x,-,o,xwin
1117,x,o,x,-,o,o,x,o,x,owin
1118,x,o,x,-,o,o,x,o,-,owin
1119,x,o,x,-,o,o,-,x,-,owin
1120,x,o,x,-,o,o,-,x,o,draw
1121,x,o,x,-,o,o,-,-,x,owin
1122,x,o,x,-,o,o,-,-,-,owin
1123,x,o,x,-,o,o,-,o,x,owin
1124,x,o,x,-,o,o,o,x,x,owin
1125,x,o,x,-,o,o,o,x,-,draw
1126,x,o,x,-,o,o,o,-,x,owin
1127,x,o,x,o,x,x,-,o,o,owin
1128,x,o,x,o,x,x,o,-,o,owin
1129,x,o,x,o,x,x,o,o,-,owin
1130,x,o,x,o,x,x,o,o,o,owin
1131,x,o,x,o,x,-,x,o,o,xwin
1132,x,o,x,o,x,-,-,-,o,draw
1133,x,o,x,o,x,-,-,o,-,xwin
1134,x,o,x,o,x,-,-,o,o,xwin
1135,x,o,x,o,x,-,o,x,o,draw
1136,x,o,x,o,x,-,o,-,-,draw
1137,x,o,x,o,x,-,o,-,o,draw
1138,x,o,x,o,x,-,o,o,x,xwin
1139,x,o,x,o,x,-,o,o,-,xwin
1140,x,o,x,o,x,o,x,-,o,xwin
1141,x,o,x,o,x,o,x,o,-,xwin
1142,x,o,x,o,x,o,x,o,o,xwin
1143,x,o,x,o,x,o,-,x,o,draw
1144,x,o,x,o,x,o,-,-,-,xwin
1145,x,o,x,o,x,o,-,-,o,xwin
1146,x,o,x,o,x,o,-,o,x,xwin
1147,x,o,x,o,x,o,-,o,-,xwin
1148,x,o,x,o,x,o,o,x,-,draw
1149,x,o,x,o,x,o,o,x,o,draw
1150,x,o,x,o,x,o,o,-,x,xwin
1151,x,o,x,o,x,o,o,-,-,xwin
1152,x,o,x,o,x,o,o,o,x,xwin
1153,x,o,x,o,-,x,x,o,o,owin
1154,x,o,x,o,-,x,-,-,o,owin
1155,x,o,x,o,-,x,-,o,-,owin
1156,x,o,x,o,-,x,-,o,o,owin
1157,x,o,x,o,-,x,o,x,o,draw
1158,x,o,x,o,-,x,o,-,-,draw
1159,x,o,x,o,-,x,o,-,o,draw
1160,x,o,x,o,-,x,o,o,x,xwin
1161,x,o,x,o,-,x,o,o,-,xwin
1162,x,o,x,o,-,-,x,-,o,owin
1163,x,o,x,o,-,-,x,o,-,owin
1164,x,o,x,o,-,-,x,o,o,xwin
1165,x,o,x,o,-,-,-,x,o,draw
1166,x,o,x,o,-,-,-,-,-,owin
1167,x,o,x,o,-,-,-,-,o,draw
1168,x,o,x,o,-,-,-,o,x,owin
1169,x,o,x,o,-,-,-,o,-,xwin
1170,x,o,x,o,-,-,o,x,-,draw
1171,x,o,x,o,-,-,o,x,o,draw
1172,x,o,x,o,-,-,o,-,x,xwin
1173,x,o,x,o,-,-,o,-,-,xwin
1174,x,o,x,o,-,-,o,o,x,xwin
1175,x,o,x,o,-,o,x,x,o,owin
1176,x,o,x,o,-,o,x,-,-,owin
1177,x,o,x,o,-,o,x,-,o,xwin
1178,x,o,x,o,-,o,x,o,x,owin
1179,x,o,x,o,-,o,x,o,-,xwin
1180,x,o,x,o,-,o,-,x,-,owin
1181,x,o,x,o,-,o,-,x,o,draw
1182,x,o,x,o,-,o,-,-,x,owin
1183,x,o,x,o,-,o,-,-,-,xwin
1184,x,o,x,o,-,o,-,o,x,xwin
1185,x,o,x,o,-,o,o,x,x,owin
1186,x,o,x,o,-,o,o,x,-,draw
1187,x,o,x,o,-,o,o,-,x,xwin
1188,x,o,x,o,o,x,x,-,o,owin
1189,x,o,x,o,o,x,x,o,-,owin
1190,x,o,x,o,o,x,x,o,o,owin
